"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.327591667E-2,-1.745370483E-1,6.056405640E-1,8.247249756E0
1.037593375E0,3.400927734E-1,3.588038635E-1,9.836794281E0
2.041911500E0,3.698808289E-1,4.558021545E-1,9.739346924E0
3.046231417E0,3.454815674E-1,3.549119568E-1,9.758656769E0
4.050549917E0,3.595523071E-1,3.806584167E-1,9.846823425E0
5.054870875E0,3.471281433E-1,3.740721130E-1,9.781409454E0
6.059190792E0,3.489244080E-1,4.245172119E-1,9.790989532E0
7.063511875E0,3.341052246E-1,3.906875610E-1,9.787247314E0
8.067832667E0,3.459306335E-1,3.743714905E-1,9.797276459E0
9.072154750E0,3.514691162E-1,3.640429688E-1,9.791139221E0
1.007647662E1,3.457809448E-1,3.686833191E-1,9.776619415E0
1.108079887E1,3.505709839E-1,3.912863159E-1,9.800120544E0
1.208512125E1,3.396437073E-1,3.805087280E-1,9.792785797E0
1.308944312E1,3.312611389E-1,3.835025024E-1,9.791737976E0
1.409376537E1,3.297642517E-1,3.697311401E-1,9.778116302E0
1.509808729E1,3.499722290E-1,3.848497009E-1,9.792486420E0
1.610241087E1,3.243754578E-1,3.668870544E-1,9.788145447E0
1.710673325E1,3.299139404E-1,3.718267822E-1,9.814191284E0
1.811105625E1,3.448828125E-1,3.781137085E-1,9.791887665E0
1.911537900E1,-3.242257690E-1,-9.048683167E-1,1.004710693E1
2.011970037E1,3.071612549E-1,4.215234375E-1,9.821975098E0
2.112402317E1,3.242257690E-1,3.885919189E-1,9.804311829E0
2.212834625E1,3.126997375E-1,4.096980286E-1,9.783954163E0
2.313266750E1,3.137475586E-1,4.206253052E-1,9.802814941E0
2.413699000E1,3.035687256E-1,3.974235535E-1,9.776918793E0
2.514131129E1,3.134481812E-1,3.793112183E-1,9.766889648E0
2.614563275E1,3.109034729E-1,3.972738647E-1,9.798024902E0
2.714995450E1,3.237767029E-1,4.120930481E-1,9.782457275E0
2.815427537E1,3.206332397E-1,4.291575623E-1,9.807754669E0
2.915859750E1,3.143463135E-1,4.082011414E-1,9.761500854E0
3.016291817E1,3.156935120E-1,3.956272888E-1,9.770631866E0
3.116723875E1,3.233276367E-1,4.001179504E-1,9.795180817E0
3.217155900E1,3.038681030E-1,4.119433594E-1,9.779463501E0
3.317587925E1,3.236270142E-1,4.204756165E-1,9.790690155E0
3.418019887E1,3.071612549E-1,3.933819580E-1,9.776918793E0
3.518451887E1,3.174897766E-1,3.974235535E-1,9.804910583E0
3.618883850E1,3.243754578E-1,3.600013733E-1,9.545200653E0
3.719315825E1,3.287164307E-1,4.197271729E-1,9.853260040E0
3.819747692E1,3.236270142E-1,4.086502075E-1,9.797725525E0
3.920179625E1,3.245251465E-1,4.022135925E-1,9.808952179E0
4.020611479E1,3.264710999E-1,4.092489624E-1,9.765243073E0
4.121043262E1,3.177891541E-1,4.052073669E-1,9.787995758E0
4.221475042E1,3.119512939E-1,4.138893127E-1,9.801916809E0
4.321906929E1,3.287164307E-1,4.252656555E-1,9.822873230E0
4.422338637E1,3.225791931E-1,3.899391174E-1,9.596394196E0
4.522770400E1,3.543132019E-1,4.261637878E-1,9.959539032E0
4.623202100E1,3.278182983E-1,3.951782227E-1,9.750274200E0
4.723633717E1,2.706372070E-1,3.996688843E-1,9.731263733E0
4.824065325E1,3.053649902E-1,3.483256531E-1,9.927655334E0
4.924496962E1,3.053649902E-1,3.911366272E-1,9.617649994E0
5.024928592E1,3.164419556E-1,4.068539429E-1,9.806856537E0
5.125360087E1,3.234773254E-1,4.117936707E-1,9.841883698E0
5.225791700E1,3.059637451E-1,3.838018799E-1,9.852511597E0
5.326223162E1,2.993774414E-1,3.634442139E-1,9.667346649E0
5.426654567E1,3.282673645E-1,4.257147217E-1,9.918524323E0
5.527086062E1,3.065625000E-1,3.948788452E-1,9.860744476E0
5.627517500E1,3.330574036E-1,4.090992737E-1,9.931098175E0
5.727948837E1,3.038681030E-1,3.999682617E-1,9.275760956E0
5.828380312E1,2.992277527E-1,3.644920349E-1,9.722282410E0
5.928811562E1,3.129991150E-1,4.174818420E-1,9.813442841E0
6.029242862E1,3.125500488E-1,4.179309082E-1,9.772428131E0
6.129674250E1,3.049159241E-1,3.983216858E-1,9.793384552E0
6.230105425E1,3.207829285E-1,3.812571716E-1,9.799970856E0
6.330536667E1,3.170407104E-1,4.168830872E-1,9.777816925E0
6.430968025E1,3.031196594E-1,3.897894287E-1,9.863738251E0
6.531399167E1,3.233276367E-1,4.043092346E-1,9.747430115E0
6.545225133E1,1.365011444E0,5.410498810E0,8.901838531E0
6.645656487E1,-1.112336884E0,5.935606842E0,7.535180511E0
6.746087925E1,-1.795067139E0,3.177741852E0,9.275611267E0
6.846519308E1,-1.223405914E0,1.351689148E-1,9.022936707E0
6.946950700E1,-7.447013855E-1,2.502046967E0,1.052162018E1
7.047382162E1,3.216810608E-1,3.561992798E0,6.494095459E0
7.147813721E1,-1.818268890E0,3.335064697E0,9.517508240E0
7.248245308E1,-1.832489319E1,-8.545279999E0,6.282734985E0
7.348676846E1,1.255678802E1,5.767656097E0,8.282127228E0
7.449108533E1,1.083746338E-1,4.745132446E-2,1.087189178E0
7.549540171E1,-1.706900482E0,-7.404352570E0,2.446662140E0
7.649971921E1,5.313650208E0,-1.879042511E0,1.047371979E0
7.750403733E1,5.647306366E0,-7.119345245E0,8.994795227E-1
7.850835483E1,5.101092224E0,-6.277645569E0,1.827699280E0
7.951267350E1,7.974217529E0,-5.922733612E0,-1.995200958E0
8.051699350E1,1.343546082E1,-1.224962677E1,4.682412872E0
8.152131250E1,2.675386505E0,-2.020034317E1,-4.280348969E0
8.252563208E1,1.623972931E0,-3.401825867E0,1.272054749E0
8.352995221E1,-7.279362488E-1,-3.824696503E0,-5.209167480E-1
8.453427162E1,-3.689826965E0,-3.503314819E0,-2.267185364E0
8.553859146E1,2.046544189E0,-1.102008362E1,3.565285950E0
8.654291237E1,-3.278632050E0,-1.208347229E1,2.401456146E0
8.754723350E1,-6.869365082E0,-9.300309906E0,-2.559078369E0
8.855155458E1,3.135978699E-1,-8.267008667E0,-4.405189362E0
