"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-6.200833341E-4,3.855412438E-1,-1.106248616E-1,6.438725835E-1
1.003696375E0,4.147249164E-2,3.912262358E-3,-9.639953613E-2
2.008015500E0,6.262289392E-2,-7.958784096E-2,-1.098691821E-3
3.012335417E0,6.689704411E-2,5.885661095E-2,2.891389668E-2
4.016653917E0,4.190160418E-2,1.824839260E-2,-1.069672090E-1
5.020973875E0,1.791572258E-2,-1.826739606E-2,1.481976807E-2
6.025294792E0,7.858877108E-3,-1.985268585E-2,-1.299251318E-2
7.029615875E0,6.836747266E-3,1.359488603E-2,-6.089875102E-3
8.033936667E0,2.504033558E-3,1.014327463E-2,6.617293954E-3
9.038258750E0,6.193809360E-3,7.889903896E-3,7.286800146E-3
1.004257962E1,-9.322289005E-4,9.478300028E-3,-1.196515739E-2
1.104690188E1,-1.437428333E-3,-9.785169214E-3,-1.267267048E-2
1.205122525E1,6.121925153E-3,5.194922201E-3,-1.146054268E-2
1.305554712E1,1.193822365E-2,9.253730401E-3,-1.141961217E-3
1.405986837E1,1.908787005E-3,1.256168302E-2,8.502436280E-3
1.506419129E1,-2.214706019E-3,-2.898786396E-2,-2.781929791E-2
1.606851487E1,-2.217958532E-3,-1.504685931E-2,-1.151316762E-3
1.707283725E1,4.381903410E-3,-1.236455876E-2,-1.837429047E-2
1.807716025E1,5.280949362E-3,-2.151154093E-3,-2.923549354E-2
1.908148200E1,1.841480582E0,-1.690599614E-1,-7.484289855E-1
2.008580437E1,1.490557596E-2,-7.028791755E-3,-2.589965701E-2
2.109012717E1,4.726779498E-3,1.067237455E-2,-1.298725069E-2
2.209444925E1,2.949006669E-3,-1.426380750E-2,-1.092376828E-2
2.309877050E1,1.839417100E-2,7.375970185E-3,1.011100531E-2
2.410309300E1,1.882339317E-2,6.041525938E-3,-1.728963196E-2
2.510741429E1,-4.905521572E-3,1.608569026E-3,-3.321978629E-2
2.611173675E1,1.578309685E-3,5.115363523E-3,2.579908490E-2
2.711605750E1,4.815693721E-3,7.457319573E-3,-1.229435563E-2
2.812037937E1,1.787216082E-2,-9.544848651E-3,-9.091835618E-3
2.912470150E1,1.014981620E-2,3.916538134E-3,2.025884807E-2
3.012902217E1,3.292274773E-3,-3.813846409E-4,1.445899487E-2
3.113334175E1,-1.128216606E-2,7.250181958E-3,-7.259318233E-3
3.213766300E1,5.966937393E-3,-4.627778828E-3,1.041213691E-2
3.314198325E1,2.044259682E-3,-2.052555420E-3,-1.459815860E-2
3.414630287E1,-1.977491789E-3,1.316716220E-2,-1.421165764E-2
3.515062287E1,-2.407777425E-2,1.135127284E-2,-5.492582023E-2
3.615494250E1,-6.623652801E-3,6.768042482E-3,1.599447370E-2
3.715926225E1,-8.974196948E-3,1.607691944E-3,1.659381330E-2
3.816358092E1,7.437183224E-3,-6.100290455E-3,-2.204400301E-4
3.916790025E1,-3.767799586E-5,1.001697477E-2,-9.509326816E-3
4.017221879E1,1.978734322E-3,8.950954266E-3,-2.765733004E-4
4.117653662E1,7.019216940E-4,-1.188921668E-3,-3.502482176E-4
4.218085442E1,-1.175582707E-3,-2.410295382E-3,-3.551891148E-2
4.318517329E1,1.597459316E-3,-8.035280295E-3,-7.962153554E-3
4.418949037E1,6.140563153E-3,1.211758699E-2,4.221748173E-2
4.519380700E1,6.623506621E-3,-8.614775911E-4,8.240656435E-2
4.619812400E1,3.168642707E-3,1.823501710E-2,1.008358186E-1
4.720244117E1,2.293986954E-2,1.629469167E-2,-4.561120570E-2
4.820675725E1,1.105935059E-2,3.556141343E-2,-7.697976351E-2
4.921107362E1,1.717985049E-2,3.324339442E-2,3.074775892E-1
5.021538992E1,1.672574110E-2,-2.486272641E-3,-1.041213691E-2
5.121970487E1,-4.620944895E-3,2.288234755E-3,-5.909137666E-2
5.222402100E1,7.914864197E-3,6.967578717E-3,-9.675036907E-2
5.322833562E1,1.774184100E-2,2.362136252E-2,6.559406519E-3
5.423264967E1,1.882916730E-2,-4.554933485E-2,-1.037576723E-1
5.523696462E1,-3.483222909E-3,-1.469255459E-2,-4.283845603E-2
5.624127900E1,2.288015485E-3,-8.765889890E-3,-4.051886559E-2
5.724559237E1,-3.023613486E-3,-1.776332952E-2,-8.055825949E-2
5.824990712E1,2.392077651E-3,4.866356190E-2,-1.949169338E-2
5.925421962E1,-7.744892947E-3,-1.803398252E-2,1.232768476E-2
6.025853263E1,6.895000152E-3,-1.235703047E-2,-1.228383064E-2
6.126284650E1,1.087154534E-2,1.748021465E-2,-2.213346541E-2
6.226715825E1,4.283195101E-3,1.152789529E-2,5.572981238E-3
6.327147067E1,7.905435562E-4,2.419504747E-3,1.073139489E-2
6.427578425E1,-6.638570510E-2,-3.201025318E-2,-5.005310154E-1
6.528009567E1,3.909302205E-3,1.002717085E-2,2.756611347E-2
6.544346333E1,-1.119518141E-1,1.630238807E-1,8.689956486E-2
6.644777687E1,-1.189924757E0,3.892602557E-1,-5.057321137E-1
6.745209125E1,-3.215951067E-1,-3.666610596E-1,4.948861134E-1
6.845640508E1,-7.129186986E-1,-1.031234979E0,-4.938406312E-1
6.946071900E1,-1.767949507E0,-3.469050720E-2,1.256889410E0
7.046503362E1,6.688397558E-1,7.131112182E-1,-2.750341378E0
