text,label
Urgent claim reward,1
Let's meet after class,0
Exclusive offer click now,1
Please send the assignment,0
You are selected for a prize,1
Are you coming today,0
Free voucher waiting for you,1
See you tomorrow,0
Earn money from home,1
Please send the assignment,0
Free voucher waiting for you,1
Project meeting at 5 pm,0
You are selected for a prize,1
Call me when free,0
Urgent claim reward,1
Let's meet after class,0
Exclusive offer click now,1
Project meeting at 5 pm,0
Exclusive offer click now,1
Lunch at college cafeteria,0
Congratulations you won a lottery,1
Please send the assignment,0
Urgent claim reward,1
Please send the assignment,0
Congratulations you won a lottery,1
Project meeting at 5 pm,0
Earn money from home,1
Are you coming today,0
Urgent claim reward,1
Lunch at college cafeteria,0
Urgent claim reward,1
Are you coming today,0
Urgent claim reward,1
Let's meet after class,0
Exclusive offer click now,1
Lunch at college cafeteria,0
Exclusive offer click now,1
Can you share notes,0
Congratulations you won a lottery,1
Project meeting at 5 pm,0
Exclusive offer click now,1
Happy birthday have a great day,0
You are selected for a prize,1
See you tomorrow,0
Congratulations you won a lottery,1
Call me when free,0
Limited time discount offer,1
Lunch at college cafeteria,0
You are selected for a prize,1
Can you share notes,0
Get rich quick scheme,1
Project meeting at 5 pm,0
Get rich quick scheme,1
Call me when free,0
Congratulations you won a lottery,1
Thanks for your help,0
Congratulations you won a lottery,1
Call me when free,0
You are selected for a prize,1
Lunch at college cafeteria,0
Win cash prize now,1
Thanks for your help,0
Win cash prize now,1
Are you coming today,0
Get rich quick scheme,1
Are you coming today,0
Earn money from home,1
Project meeting at 5 pm,0
Claim your free gift today,1
Are you coming today,0
Urgent claim reward,1
Thanks for your help,0
Win cash prize now,1
Let's meet after class,0
Exclusive offer click now,1
Are you coming today,0
You are selected for a prize,1
Call me when free,0
You are selected for a prize,1
Happy birthday have a great day,0
Earn money from home,1
Project meeting at 5 pm,0
Limited time discount offer,1
Are you coming today,0
Congratulations you won a lottery,1
Call me when free,0
Urgent claim reward,1
Thanks for your help,0
Get rich quick scheme,1
Please send the assignment,0
Claim your free gift today,1
Happy birthday have a great day,0
Earn money from home,1
Can you share notes,0
Congratulations you won a lottery,1
Lunch at college cafeteria,0
Free voucher waiting for you,1
Please send the assignment,0
Exclusive offer click now,1
Are you coming today,0
Win cash prize now,1
Let's meet after class,0
Congratulations you won a lottery,1
Lunch at college cafeteria,0
You are selected for a prize,1
Please send the assignment,0
Free voucher waiting for you,1
Call me when free,0
You are selected for a prize,1
See you tomorrow,0
You are selected for a prize,1
Let's meet after class,0
Get rich quick scheme,1
See you tomorrow,0
Exclusive offer click now,1
Project meeting at 5 pm,0
Free voucher waiting for you,1
Lunch at college cafeteria,0
Exclusive offer click now,1
Lunch at college cafeteria,0
Exclusive offer click now,1
See you tomorrow,0
Limited time discount offer,1
Thanks for your help,0
Congratulations you won a lottery,1
Please send the assignment,0
Urgent claim reward,1
Can you share notes,0
Urgent claim reward,1
Thanks for your help,0
