"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-6.200833341E-4,2.754262090E-1,6.459640861E-1,-1.450578775E-2
1.003696375E0,-4.296882544E-3,-1.205156092E-2,4.212348722E-5
2.008015500E0,2.636610996E-3,-3.104142379E-4,-1.143942820E-3
3.012335417E0,7.449146360E-4,2.708672779E-3,-2.869591117E-5
4.016653917E0,1.901347190E-3,-1.917371061E-3,4.088087007E-5
5.020973875E0,-1.797052100E-4,8.744064253E-4,-3.695585765E-4
6.025294792E0,8.419919759E-4,2.216325607E-3,-8.535489906E-4
7.029615875E0,-4.617860541E-4,-2.341766376E-4,-3.379278351E-4
8.033936667E0,-2.731014974E-4,-6.416649558E-4,1.519476064E-5
9.038258750E0,1.469396520E-3,-5.362825468E-4,1.472076634E-3
1.004257962E1,-1.850860193E-3,-8.279513568E-4,6.692316383E-4
1.104690188E1,1.088863704E-3,-1.085221302E-4,7.177479565E-4
1.205122525E1,-1.093135215E-3,-1.155310543E-3,-1.724752365E-3
1.305554712E1,1.571471803E-4,-1.175491139E-3,4.763157340E-4
1.405986837E1,-1.381213311E-3,-6.191940047E-4,-8.141549770E-4
1.506419129E1,1.215590164E-4,-1.344659366E-3,1.434308942E-4
1.606851487E1,-4.940750077E-4,-9.779059328E-4,-5.522081628E-4
1.707283725E1,1.143008471E-3,-3.080661409E-4,-7.020831108E-4
1.807716025E1,2.399892546E-4,6.213318557E-5,-8.453621995E-4
1.908148200E1,-7.257753611E-2,-1.774356365E-1,-1.795621395E0
2.008580437E1,3.139632754E-4,-5.483073182E-4,-1.209769165E-3
2.109012717E1,-1.010826789E-3,-1.061405288E-3,-1.435540617E-5
2.209444925E1,5.284622312E-4,-6.110570394E-4,-8.080624975E-4
2.309877050E1,-3.889161162E-4,-1.649650978E-3,2.594750840E-4
2.410309300E1,7.406575605E-4,-8.382992819E-4,-4.281173460E-4
2.510741429E1,-2.220408060E-4,4.057297483E-4,-1.517271157E-4
2.611173675E1,-5.152607337E-4,-3.173011355E-4,2.711894922E-4
2.711605750E1,1.070663799E-3,-9.150498081E-4,6.705122069E-4
2.812037937E1,8.584861644E-4,7.224187721E-4,-6.053575780E-4
2.912470150E1,5.503050052E-4,2.925055800E-3,-7.986170240E-4
3.012902217E1,3.992905840E-4,6.178210024E-4,1.208953909E-3
3.113334175E1,4.224875011E-4,3.571070265E-4,8.702687919E-4
3.213766300E1,1.979423687E-4,-7.085448597E-4,-5.335716996E-4
3.314198325E1,1.105876174E-3,2.301802626E-3,-1.357899513E-3
3.414630287E1,7.653608918E-6,-9.454824030E-4,1.968319761E-3
3.515062287E1,-1.074596774E-3,-3.577511758E-3,-1.906482503E-4
3.615494250E1,1.802202780E-3,-5.237967707E-5,-1.635476947E-4
3.715926225E1,-9.830188937E-4,-3.194591263E-3,3.813356161E-4
3.816358092E1,1.354909968E-3,-4.974752665E-4,4.456160823E-4
3.916790025E1,1.771762501E-3,1.498259022E-3,-3.672763705E-5
4.017221879E1,-1.408792101E-3,6.631042343E-4,-1.684364397E-4
4.117653662E1,9.507844225E-4,-3.215158358E-5,-8.809440769E-4
4.218085442E1,-3.358907998E-4,-2.681340091E-3,7.916332688E-4
4.318517329E1,-8.503207937E-4,1.706690527E-4,-1.027565449E-4
4.418949037E1,-2.499595517E-3,6.704480853E-3,9.546753718E-4
4.519380700E1,5.081081763E-4,1.047397032E-3,3.427625634E-4
4.619812400E1,-2.070612274E-3,2.339547966E-3,-1.451335847E-3
4.720244117E1,-8.926726878E-4,-2.110007452E-3,1.661070739E-3
4.820675725E1,-1.890371554E-3,1.278906129E-4,1.135125756E-3
4.921107362E1,-6.572697312E-4,4.591238685E-4,-2.494563814E-4
5.021538992E1,2.109808847E-4,2.603603061E-4,-5.784616806E-4
5.121970487E1,1.099682413E-3,7.544450928E-4,-7.128575817E-5
5.222402100E1,7.395176217E-4,-9.584154468E-4,-3.200336359E-4
5.322833562E1,-9.819958359E-5,1.679719426E-4,-3.041741438E-4
5.423264967E1,3.279985394E-3,2.222342882E-4,1.708022319E-5
5.523696462E1,1.184048131E-3,1.509813126E-3,6.309531163E-4
5.624127900E1,3.733980935E-3,7.988202851E-4,5.336897448E-4
5.724559237E1,-1.333239488E-4,1.318224589E-3,7.439653855E-4
5.824990712E1,7.557268254E-4,3.103150520E-4,8.061341941E-5
5.925421962E1,-5.289772525E-4,-3.685414093E-3,-1.777089201E-4
6.025853263E1,-9.306473657E-5,1.743526547E-3,-6.738093216E-4
6.126284650E1,-2.150031505E-3,-1.295676921E-3,9.623006918E-5
6.226715825E1,8.032992482E-4,1.946564647E-3,-3.019487485E-5
6.327147067E1,1.750304364E-4,2.490431070E-4,5.532904761E-4
6.427578425E1,3.936416470E-4,-4.048064351E-3,-2.659866586E-4
6.528009567E1,6.799378898E-3,1.407622918E-2,-8.571383078E-4
6.544346333E1,2.695952952E-1,1.166305318E-1,1.491510123E-1
6.644777687E1,-4.345057905E-1,1.651643068E-1,-1.908335328E0
6.745209125E1,4.915412143E-2,2.259995490E-1,-5.842795596E-2
6.845640508E1,5.846149325E-1,-7.621221989E-2,5.945432186E-1
6.946071900E1,5.380900502E-1,1.496931612E-1,1.149027467E0
7.046503362E1,4.367636442E-1,-2.147299945E-1,2.308916152E-1
7.146934921E1,7.941994071E-2,-5.587663054E-1,-2.247498482E-1
7.247366508E1,-2.150502920E0,-3.659652233E0,-4.788007438E-1
7.347797946E1,-1.927472949E0,-2.890023589E-2,3.116427183E0
7.448229733E1,3.297977686E0,-2.867397308E0,-1.150998592E0
7.548661371E1,-2.959917068E0,2.938976288E-1,-1.169757366E0
7.649093121E1,1.545814991E0,-9.502903819E-1,1.664062500E0
7.749524933E1,8.980985284E-1,3.250563741E-1,6.655143499E-1
7.849956683E1,8.377603292E-1,-1.211918354E0,-7.142888010E-2
7.950388550E1,-4.761150479E-1,2.976855040E-1,-1.222352028E0
8.050820550E1,1.635435581E0,-1.191750318E-1,-2.415676832E0
8.151252450E1,-1.533413410E0,1.386960149E0,1.225795746E0
8.251684408E1,3.796625435E-1,2.392069101E0,3.613634408E-1
8.352116321E1,3.880400062E-1,2.776993990E0,6.944451332E-1
8.452548362E1,1.721342206E-1,1.657316685E0,7.222291231E-1
8.552980346E1,-8.623470068E-1,1.483040929E0,7.504487038E-1
8.653412437E1,-6.596228480E-1,2.138830185E0,1.166526198E0
8.753844550E1,-6.746028364E-2,1.144129872E0,2.261749655E-1
8.854276658E1,-1.515860200E0,-2.598824739E0,-5.220971107E-1
8.954708858E1,-1.462608457E0,-4.263764381E0,-1.444021016E-1
9.055140962E1,-6.504416466E-2,2.681997716E-1,-8.197502047E-2
9.155573300E1,-3.491204381E-1,-2.924254835E-1,-3.413580656E-1
9.256005687E1,-2.421375036E0,-2.971359253E0,-1.928095818E-1
9.356438108E1,1.613213420E0,5.959033966E-1,2.606976219E-2
9.456870612E1,1.634528756E0,-3.447943628E-1,-1.135539770E0
9.557302971E1,4.335398674E-1,-2.143312693E0,-7.440729737E-1
9.657735358E1,-1.457094669E0,-1.855098009E0,-3.516848683E-1
9.758167833E1,-1.572219968E0,-3.595174313E0,-6.444285512E-1
9.858600346E1,-1.688972473E0,-2.935642958E0,-4.111724198E-1
9.959032808E1,-3.570465088E0,-1.341764331E0,-3.546602726E-1
1.005946516E2,5.629955530E-1,5.605803803E-2,-4.970724285E-1
1.015989772E2,2.054321319E-1,1.390508771E0,-1.915709116E-2
1.026033029E2,1.908793896E-1,1.767417043E-1,2.790682912E-1
1.036076295E2,1.549355507E0,2.021943808E0,5.668109059E-1
1.046119583E2,1.883771658E0,2.834200621E0,4.450643659E-1
1.056162892E2,1.131363869E0,2.858313560E0,4.845316112E-1
1.066206181E2,-4.699128270E-1,1.550034046E0,2.485244721E-1
1.076249481E2,-8.637084365E-1,1.013025761E0,8.467901349E-1
1.086292796E2,-1.176006943E-1,1.939971209E0,9.613735676E-1
1.096336096E2,2.739507198E0,1.658801794E0,-5.758291245E0
